BM	Bring Mail (Norge)	BMNOSPPR	Bring Mail Brev med frankopåtrykk	NO	*
BM	Bring Mail (Norge)	BMNOPIPA	Bring Mail Pakke i postkassen	NO	NO
BM	Bring Mail (Norge)	BMNORPIPA	Bring Mail Retur Pakke i postkassen	NO	NO
BOX	Bring Express	BOXBD	Bring Express Business Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXBDP	Bring Express Business Distribution Pallet	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCD	Bring Express Courier Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCA	Bring Express Courier Service by car	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHD	Bring Express Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHDCR	Bring Express Home Delivery Curbside Return	SE	SE
BOX	Bring Express	BOXHDIR	Bring Express Home Delivery Indoor Return	SE	SE
BOX	Bring Express	BOXHDR	Bring Express Home Delivery Return	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXPL	Bring Express Pickup Large	NO, SE	NO, SE
BOX	Bring Express	BOXSHD	Bring Express Store Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXSHDR	Bring Express Store Home Delivery Return 	DK, NO, SE	DK, NO, SE
BP	Bring Parcels Norge (inrikes)	BPBDD	Bring Bedriftspakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPBE09	Bring Bedriftspakke Ekspress over natt - 0900	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPBP	Bring Business Parcel (Norway Domestic)	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPSP	Bring Klimanøytral Servicepakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPPD	Bring Pakke på Døren	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPRETB	Bring Returservice Bedriftspakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPSPR	Bring Returservice Servicepakke	NO	NO, SJ
DACHSER	Dachser	DACTFIX	Dachser Targofix	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DACHSER	Dachser	DACTFIX10	Dachser Targofix 10:00	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DACHSER	Dachser	DACTFIX12	Dachser Targofix 12:00	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DACHSER	Dachser	DACTFLEX	Dachser Targoflex	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DACHSER	Dachser	DACTSPEED	Dachser Targospeed	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DACHSER	Dachser	DACTSPEED10	Dachser Targospeed 10:00	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DACHSER	Dachser	DACTSPEED12	Dachser Targospeed 12:00	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DACHSER	Dachser	DACTSPEEDPLUS	Dachser Targospeed Plus	AD, AL, AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA, VA, XK	*
DANX	DANX	DANXAIR	DANX Air	*	*
DANX	DANX	DANXSTD	DANX Road	*	*
DFM	Danske Fragtmænd	DFMSG	Danske Fragtmaend Styckegods	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMBP	Danske Fragtmænd Bilpakke	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMEP	Danske Fragtmænd Erhvervsbilpakke	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMVP	Danske Fragtmænd Volumepakke	DK, SE	DE, DK, SE
DHLAIR	DHL Express	DADOK	DHL Express 09:00 (Domestic)	DE, DK, EE, LT, SE	DE, DK, EE, LT, SE
DHLAIR	DHL Express	DASE	DHL Express 09:00 (Tullfri)	DE, DK, EE, FI, LT, SE	*
DHLAIR	DHL Express	DASECD	DHL Express 09:00 (Tullpliktigt)	DE, DK, EE, FI, LT, NO, SE	*
DHLAIR	DHL Express	DATDL	DHL Express 10:30 (Tullfri)	DE, DK, EE, FI, LT, SE	US
DHLAIR	DHL Express	DATDM	DHL Express 10:30 (Tullpliktigt)	DE, DK, EE, FI, LT, SE	US
DHLAIR	DHL Express	DADOT	DHL Express 12:00 (Domestic)	DE, DK, EE, LT, SE	DE, DK, EE, LT, SE
DHLAIR	DHL Express	DAME	DHL Express 12:00 (Tullfri)	DE, DK, EE, FI, LT, SE	*
DHLAIR	DHL Express	DAMECD	DHL Express 12:00 (Tullpliktigt)	DE, DK, EE, FI, LT, NO, SE	*
DHLAIR	DHL Express	DAESU	DHL Express Economy Select (Tullfri)	DE, EE, FI, LT, SE	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DAESI	DHL Express Economy Select (Tullpliktigt)	DE, EE, FI, LT, NO, SE	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, NL, NO, PL, PT, RO, SE, SI, SK, SM
DHLAIR	DHL Express	DAXPD	DHL Express Envelope (Tullfri)	DE, DK, EE, FI, LT, NO, SE	*
DHLAIR	DHL Express	DADOM	DHL Express Worldwide (Inrikes)	DE, DK, EE, FI, LT, NO, SE	DE, DK, EE, FI, LT, NO, SE
DHLAIR	DHL Express	DAECX	DHL Express Worldwide (Tullfri inom EU)	DE, DK, EE, FI, LT, PL, SE	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DADOX	DHL Express Worldwide (Tullfri, ikke EU)	DE, DK, EE, FI, LT, PL, SE	*
DHLAIR	DHL Express	DAWPX	DHL Express Worldwide (Tullpliktigt)	DE, DK, EE, FI, LT, NO, PL, SE	*
DHLAIRRETURN	DHL Express Return	DAESIR	DHL Express Economy Select Return (Tullpliktigt)	DE, EE, FI, LT, NO, SE	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, NL, NO, PL, PT, RO, SE, SI, SK, SM
DHLAIRRETURN	DHL Express Return	DADOMR	DHL Express Worldwide Return (Domestic)	DE, DK, EE, FI, LT, NO, SE	DE, DK, EE, FI, LT, NO, SE
DHLAIRRETURN	DHL Express Return	DAECXR	DHL Express Worldwide Return (Duty free within EU)	DE, DK, EE, FI, LT, PL, SE	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
DHLAIRRETURN	DHL Express Return	DADOXR	DHL Express Worldwide Return (Tullfri, ikke EU)	DE, DK, EE, FI, LT, PL, SE	*
DHLAIRRETURN	DHL Express Return	DAWPXR	DHL Express Worldwide Return (Tullpliktigt)	DE, DK, EE, FI, LT, NO, PL, SE	*
DHLAIRRETURN	DHL Express Return	DAESUR	DK - DHL Express Economy Select Return (Tullfri)	DE, EE, FI, LT, SE	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK
DSVDK	DSV Danmark	DSVDKPCL	DSV Parcel	DK, SE	*
DSVDK	DSV Danmark	DSVDKFULL	DSV Road Full load	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
DSVDK	DSV Danmark	DSVDKPART	DSV Road Part load	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
DSVDK	DSV Danmark	DSVDKGRP	DSV Road Stykgods	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
FREE	Neutral transportör	FREEB	Neutral Brev	DK, FI, NO, SE	*
FREE	Neutral transportör	FREEG	Neutral Gods	*	*
FREE	Neutral transportör	FREEP	Neutral Paket	*	*
FTLDK	Freja Transport & Logistics A/S	FTLDKSTD	Freja Transport & Logistics A/S	*	*
GLS	General Logistics Systems	GLSBPALL	GLS Business-Pallet	DK	DK
GLS	General Logistics Systems	GLSA	GLS Business-Parcel	DK	DK
GLS	General Logistics Systems	GLSEBP	GLS Euro Business-Parcel	DK	AD, AT, BA, BE, BG, BY, CH, CS, CY, CZ, DE, EE, ES, FI, FO, FR, GB, GE, GI, GL, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, UA, VA
GLS	General Logistics Systems	GLSGBP	GLS Global Business-Parcel	DK, SE	AE, AF, AG, AI, AM, AN, AO, AR, AS, AU, AW, AZ, BB, BD, BF, BH, BI, BJ, BM:BT, BN, BO, BR, BS, BW, BZ, CA, CD, CF, CG, CI, CK, CL, CM, CN, CO, CR, CV, DJ, DM, DO, DZ, EC, EG, ER, ET, FJ, GA, GD, GF, GM, GN, GP, GQ, GT, GU, GW, GY, HK, HN, HT, ID, IL, IN, IQ, IR, JM, JO, JP, KE, KG, KH, KR, KW, KY, KZ, LA, LB, LK, LR:LY, LS, MA, MG, ML, MM, MN, MO, MQ, MR, MS, MU, MV, MW, MX, MY, MZ:OM, NA, NC, NE, NG, NI, NP, NZ, PA, PE, PF, PG, PH, PK, PR, PS, PY, QA, RW, SA, SC, SD, SG, SL, SN, SO, SR, SV, SY, TD, TH, TL, TM, TN, TR, TT, TW, TZ, UG, US, UY, UZ, VE, VG, VI, VN, WS, YE, ZA, ZM, ZW
GLS	General Logistics Systems	GLSESDSPALL	GLS Sameday Solution Pallet	DK	DK
GLS	General Logistics Systems	GLSESDS16	GLS Sameday Solution Parcel	DK	DK
GLS	General Logistics Systems	GLSPS	GLS ShopDelivery	DK	DK
GLS	General Logistics Systems	GLSPSR	GLS ShopReturn	DK	DK
GLSFI	GLS Finland	GLSFIEBF	GLS Finland Euro Business Freight	AX, FI	AN, AT, BE, CH, CZ, DE, DK, EE, ES, FR, GB, HR, HU, IE, IT, LI, LT, LU, LV, NL, NO, PL, PT, SE, SI, SK, SM, VA
GLSFI	GLS Finland	GLSFIEBP	GLS Finland Euro Business Parcel	AX, FI	AD, AN, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FR, GB, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, SP, UA, VA
GLSFI	GLS Finland	GLSFIEBPDOM	GLS Finland Euro Business Parcel	AX, FI	AX, FI
