AGILITY	Agility	AGILITYROAD	Agility Road	SE	*
AHOLATRANS	Ahola Transport	AHOLATRANSSG	Ahola Transport Styckegods	AX, CZ, DK, EE, FI, HU, LT, LV, NO, PL, RO, SE, SK	AX, CZ, DK, EE, FI, HU, LT, LV, NO, PL, RO, SE, SK
AIHKI	Aihkisalo	AIHKISTD	Aihkisalo kappaletavara	FI	FI
AIRMEE	Airmee	AIRMEE	Airmee	SE	SE
AKKA	AkkaFRAKT	AKKADIST	AkkaFRAKT Distribution	SE	*
AKKA	AkkaFRAKT	AKKAKRAN	AkkaFRAKT Kran	SE	*
ALFTA	Alfta Frakt	ALFTAGODS	Alfta Frakt Gods	SE	SE
ALFTA	Alfta Frakt	ALFTAPAKET	Alfta Frakt Paket	SE	SE
ASENDIA	Asendia	ASNCT	Asendia Country-tracked	DK, EE, FI, LT, LV, NO, SE	*
ASENDIA	Asendia	ASNFT	Asendia Fully-tracked	DK, EE, FI, LT, LV, NO, SE	AL, AT, AU, BE, BG, BR, CA, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HK, HR, HU, IE, IL, IN, IS, IT, JP, KH, KR, LB, LT, LU, LV, MC, MT, MY, NL, NO, NZ, PL, PT, RO, RS, RU, SA, SE, SG, SI, SK, TH, TR, TW, US, UY
ASENDIA	Asendia	ASNPR	Asendia Premium	DK, EE, FI, LT, LV, NO, SE	AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RO, SE, SI, SK
BCDK	Bring Cargo Danmark	BCDKGRP	Bring Cargo Danmark Groupage	DK	*
BCDK	Bring Cargo Danmark	BCDKPART	Bring Cargo Danmark Part Load	DK	*
BCMSE	Bring Citymail	BCMSEBLP	Bring Citymail Brevlådepaket	SE	SE
BCMSE	Bring Citymail	BCMSEBLPE	Bring Citymail Brevlådepaket Express	SE	SE
BCNOINT	Bring Cargo Norge (International)	BCNOINTFULL	Bring Cargo Full Load	NO	*
BCNOINT	Bring Cargo Norge (International)	BCNOINTGRP	Bring Cargo Stykkgods	NO	*
BCSE	Bring Cargo International AB	BCSEP	Bring Cargo International Partigods (14)	SE	*
BCSE	Bring Cargo International AB	BCSES	Bring Cargo International Styckegods (9)	SE	*
BCSED	Bring Cargo Sverige (inrikes)	BCSEDSTD	Bring Cargo Inrikes (SE)	SE	SE
BEST	Best Transport	BESTDIST	Best Distribution	DK, NO, SE	*
BEST	Best Transport	BESTHL	Best Hemleverans 18:00-22:00	SE	SE
BEST	Best Transport	BESTHLD	Best Hemleverans dag 08:00-17:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLM	Best Hemleverans förmiddag 09:00-13:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLE1820	Best Hemleverans kväll 18:00-20:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLE	Best Hemleverans kväll 18:00-22:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLE2022	Best Hemleverans kväll 20:00-22:00 Flex	DK, NO, SE	*
BL	Bring Cargo Norge (Inrikes)	BLFULL	Bring Cargo Full Load	NO	NO
BL	Bring Cargo Norge (Inrikes)	BLSGD	Bring Cargo Stykkgods	NO	NO
BM	Bring Mail (Norge)	BMNOSPPR	Bring Mail Brev med frankopåtrykk	NO	*
BM	Bring Mail (Norge)	BMNOPIPAR	Bring Mail Pakke i postkassen med sporing	NO	NO
BM	Bring Mail (Norge)	BMNOPIPA	Bring Mail Pakke i postkassen uten sporing	NO	NO
BOX	Bring Express	BOXBD	Bring Express Business Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXBDP	Bring Express Business Distribution Pallet	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCD	Bring Express Courier Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCA	Bring Express Courier Service by car	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHD	Bring Express Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHDIL	Bring Express Home Delivery Indoor Light	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHDR	Bring Express Home Delivery Return	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXPL	Bring Express Pickup Large	NO, SE	NO, SE
BOX	Bring Express	BOXQPDC	Bring Express QuickPack Day Certain	DK, NO, SE	*
BOX	Bring Express	BOXQPEE	Bring Express QuickPack Express Economy	DK, NO, SE	*
BOX	Bring Express	BOXQP09	Bring Express QuickPack Overnight 09.00	DK, NO, SE	*
BOX	Bring Express	BOXQP12	Bring Express QuickPack Overnight 12.00	DK, NO, SE	*
BOX	Bring Express	BOXQP	Bring Express QuickPack Same Day	DK, NO, SE	*
BOX	Bring Express	BOXSHD	Bring Express Store Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXSHDR	Bring Express Store Home Delivery Return 	DK, NO, SE	DK, NO, SE
BP	Bring Parcels Norge (inrikes)	BPBDD	Bring Bedriftspakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPBE09	Bring Bedriftspakke Ekspress over natt - 0900	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPSP	Bring Klimanøytral Servicepakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPPD	Bring Pakke på Døren	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPRETB	Bring Returservice Bedriftspakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPSPR	Bring Returservice Servicepakke	NO	NO, SJ
BUDBEE	Budbee	BUDBEESTD	Budbee	SE	SE
BUDBEE	Budbee	BUDBEEEXPRESS	Budbee Express Delivery	SE	SE
BUDBEE	Budbee	BUDBEEDLVDAY	Budbee Hemleverans Dagtid	SE	SE
BUDBEE	Budbee	BUDBEEDLVEVN	Budbee Hemleverans Kvällstid	SE	SE
BUDETT	Budcompaniett	BUDETT3TIM	Budcompaniet 3 timmars bud	SE	SE
BUDETT	Budcompaniett	BUDETTPANIK	Budcompaniet Panikbud	SE	SE
BUDETT	Budcompaniett	BUDETTTUR	Budcompaniet Turbud	SE	SE
CG	Bussgods	CGB	Bussgods	SE	FI, SE
COCA	ColliCare	COCA11	ColliCare Groupage	NO, SE	NO
COCA	ColliCare	COCA501	ColliCare Hemleverans dag	NO, SE	NO
COCA	ColliCare	COCA502	ColliCare Hemleverans kväll	NO, SE	NO
COCA	ColliCare	COCA520	ColliCare Retur	NO, SE	NO
DABBE	DHL Express Break Bulk Express (BBE)	DABBE	DHL Express Break Bulk Express (BBE)
DABBX	DHL Express Break Bulk Express (BBX)	DABBX	DHL Express Break Bulk Express (BBX)
DACHSER	Dachser	DACTFIX	Dachser Targofix	DK, PL, SE	*
DACHSER	Dachser	DACTFIX10	Dachser Targofix 10:00	DK, PL, SE	*
DACHSER	Dachser	DACTFIX12	Dachser Targofix 12:00	DK, PL, SE	*
DACHSER	Dachser	DACTFLEX	Dachser Targoflex	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED	Dachser Targospeed	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED10	Dachser Targospeed 10:00	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED12	Dachser Targospeed 12:00	DK, PL, SE	*
DACHSER	Dachser	DACTSPEEDPLUS	Dachser Targospeed Plus	DK, PL, SE	*
DANX	DANX	DANXAIR	DANX Air	*	*
